Marca temporal,Curso,Opinión General Sobre el Curso,¿Aprobó la Cursada?,¿Cómo te Resultaron los Temas de la Materia?,¿Los Temas de la Materia Están Actualizados?,Nivel de las Clases Teóricas del Curso,Nivel de las Clases Prácticas del Curso,Dificultad del Curso,Dificultad del TP,Comentarios Sobre el Curso,¿Tenes algun comentario o sugerencia sobre la cursada virtual de este cuatrimestre?
8/26/2020 17:20:59,Analisis Numerico I/Metodos Matematicos y Numericos - Schwarz,Bueno,Si,Muy Interesantes,Si,Buenas,Muy Buenas,Normal,Normal,,
8/26/2020 17:22:21,Administracion y Control de Proyectos Informaticos II - Alvaro,Excelente,Si,Muy Interesantes,Si,Muy Buenas,Excelentes,Dificil,Dificil,Son temas y enfoques que no se ven en otras materias y ayuda mucho a entender que implica emprender,Para ser clases virtuales fue muy bueno y dinamico.
8/26/2020 17:26:20,Administracion y Control de Proyectos Informaticos II - Alvaro,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Dificil,"Todo bueno, pero la parte de prototipado y tes de usuarios fue la mejor.",Al ser una clase con interacciones por momentos era un poco un caos pero de muy buenas discusiones
8/26/2020 17:29:53,Introduccion a los Sistemas Distribuidos  - Carisimo,Bueno,Si,Muy Interesantes,Si,Buenas,Regulares,Normal,Dificil,,
8/26/2020 17:31:26,Taller de Programacion II - Calonico,Regular,Si,Muy Interesantes,Si,Regulares,Buenas,Normal,Normal,,
8/26/2020 17:32:05,Base de Datos - Beiro,Muy Bueno,Si,Interesantes,Si,Muy Buenas,Buenas,Normal,No hay TP,,
8/26/2020 17:33:24,Introduccion a los Sistemas Distribuidos  - Carisimo,Excelente,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Normal,,Se adaptaron perfectamente
8/26/2020 17:41:23,Analisis Numerico I/Metodos Matematicos y Numericos - Schwarz,Muy Bueno,Si,Muy Interesantes,Si,Buenas,Muy Buenas,Normal,Normal,,
8/26/2020 17:45:56,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,,
8/26/2020 17:46:12,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Normal,"Muy bien organizado, las clases teoricas de Diego son un 10 siempre con buena onda. Excelente el curso, lo recomiendo.",
8/26/2020 17:46:31,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Muy Buenas,Excelentes,Facil,Normal,"Muy bien organizado, todos tienen mucha voluntad para ayudarnos y para que las clases nos sean utiles.",
8/26/2020 17:46:52,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Dificil,,
8/26/2020 17:47:41,Algoritmos y Programacion I (Electronica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Dificil,,
8/26/2020 17:47:53,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Dificil,,
8/26/2020 17:49:02,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,"Muy buen curso, muy buenos profesores, explican bien, responden las dudas en todo momento y hacen excelentes devoluciones en los TPs.",No
8/26/2020 17:49:15,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Facil,Facil,"Ya he escrito comentarios acerca del curso en una encuesta que ellos crearon. En resumen, 10/10. ",
8/26/2020 17:51:41,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Buenas,Normal,Dificil,,
8/26/2020 17:52:39,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Dificil,"Nunca habia programado en mi vida, y en este curso aprendi un monton de cosas e incluso me termino gustando programar, al principio me costo, pero logre adaptarme y disfrutar de esta materia","Se adapto perfectamente a la virtualidad, nada para reprochar, solamente dar mis felicitaciones al excelente trabajo de todos los docentes"
8/26/2020 17:53:06,Algoritmos y Programacion I (Informatica) - Essaya,Muy Bueno,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,Dificil,Todo muy bueno pero a veces molestaba el tiempo de respuesta o correcion de los ayudantes.,
